timestamp,route,speed_kmh,delay_per_km_min,weather,is_weekend
2024-01-01 00:00:00,Nguyen Trai,17.58,1.91,Heavy Rain,0
2024-01-01 01:00:00,Nguyen Trai,35.6,0.19,Clear,0
2024-01-01 02:00:00,Nguyen Trai,43.82,0.0,Clear,0
2024-01-01 03:00:00,Nguyen Trai,16.39,2.16,Heavy Rain,0
2024-01-01 04:00:00,Nguyen Trai,36.72,0.13,Clear,0
2024-01-01 05:00:00,Nguyen Trai,39.36,0.02,Clear,0
2024-01-01 06:00:00,Nguyen Trai,40.04,0.0,Clear,0
2024-01-01 07:00:00,Nguyen Trai,8.43,5.62,Clear,0
2024-01-01 08:00:00,Nguyen Trai,7.26,6.76,Clear,0
2024-01-01 09:00:00,Nguyen Trai,6.07,8.38,Clear,0
2024-01-01 10:00:00,Nguyen Trai,16.78,2.08,Rain,0
2024-01-01 11:00:00,Nguyen Trai,22.85,1.13,Clear,0
2024-01-01 12:00:00,Nguyen Trai,23.51,1.05,Clear,0
2024-01-01 13:00:00,Nguyen Trai,13.43,2.97,Rain,0
2024-01-01 14:00:00,Nguyen Trai,22.6,1.16,Clear,0
2024-01-01 15:00:00,Nguyen Trai,10.2,4.38,Heavy Rain,0
2024-01-01 16:00:00,Nguyen Trai,28.3,0.62,Clear,0
2024-01-01 17:00:00,Nguyen Trai,4.32,12.37,Clear,0
2024-01-01 18:00:00,Nguyen Trai,5.82,8.82,Clear,0
2024-01-01 19:00:00,Nguyen Trai,8.78,5.34,Clear,0
2024-01-01 20:00:00,Nguyen Trai,41.56,0.0,Clear,0
2024-01-01 21:00:00,Nguyen Trai,16.13,2.22,Heavy Rain,0
2024-01-01 22:00:00,Nguyen Trai,27.33,0.7,Rain,0
2024-01-01 23:00:00,Nguyen Trai,41.57,0.0,Clear,0
2024-01-02 00:00:00,Nguyen Trai,26.31,0.78,Rain,0
2024-01-02 01:00:00,Nguyen Trai,35.87,0.17,Clear,0
2024-01-02 02:00:00,Nguyen Trai,43.46,0.0,Clear,0
2024-01-02 03:00:00,Nguyen Trai,40.63,0.0,Clear,0
2024-01-02 04:00:00,Nguyen Trai,43.23,0.0,Clear,0
2024-01-02 05:00:00,Nguyen Trai,39.66,0.01,Clear,0
2024-01-02 06:00:00,Nguyen Trai,34.51,0.24,Clear,0
2024-01-02 07:00:00,Nguyen Trai,9.83,4.61,Clear,0
2024-01-02 08:00:00,Nguyen Trai,11.34,3.79,Clear,0
2024-01-02 09:00:00,Nguyen Trai,10.09,4.45,Clear,0
2024-01-02 10:00:00,Nguyen Trai,23.28,1.08,Clear,0
2024-01-02 11:00:00,Nguyen Trai,27.45,0.69,Clear,0
2024-01-02 12:00:00,Nguyen Trai,27.47,0.68,Clear,0
2024-01-02 13:00:00,Nguyen Trai,18.6,1.73,Rain,0
2024-01-02 14:00:00,Nguyen Trai,20.73,1.39,Clear,0
2024-01-02 15:00:00,Nguyen Trai,15.98,2.25,Rain,0
2024-01-02 16:00:00,Nguyen Trai,22.45,1.17,Clear,0
